price,quantity,type,timestamp
4743000,3.561,1,2024-04-29 00:02:30.820000
4744000,1.0009,1,2024-04-29 00:02:30.820000
4745000,5.0398,1,2024-04-29 00:02:30.820000
4740000,0.875,0,2024-04-29 00:02:36.049000
4739000,3.2029,0,2024-04-29 00:02:36.049000
4738000,0.1206,0,2024-04-29 00:02:36.049000
4737000,0.0504,0,2024-04-29 00:02:36.049000
4736000,18.56,0,2024-04-29 00:02:36.049000
4741000,0.0053,1,2024-04-29 00:02:36.049000
4742000,0.0094,1,2024-04-29 00:02:36.049000
4743000,0.001,1,2024-04-29 00:02:36.049000
4744000,18.5879,1,2024-04-29 00:02:36.049000
4745000,4.4798,1,2024-04-29 00:02:36.049000
4740000,0.875,0,2024-04-29 00:02:41.321000
4739000,3.323,0,2024-04-29 00:02:41.321000
4738000,0.0505,0,2024-04-29 00:02:41.321000
4737000,0.3359,0,2024-04-29 00:02:41.321000
4736000,15.0,0,2024-04-29 00:02:41.321000
4741000,0.0053,1,2024-04-29 00:02:41.321000
4742000,0.0094,1,2024-04-29 00:02:41.321000
4743000,0.001,1,2024-04-29 00:02:41.321000
4744000,1.0009,1,2024-04-29 00:02:41.321000
4745000,9.4845,1,2024-04-29 00:02:41.321000
4740000,3.1016,0,2024-04-29 00:02:46.566000
4739000,16.0964,0,2024-04-29 00:02:46.566000
4737000,1.3354,0,2024-04-29 00:02:46.566000
4736000,1.0,0,2024-04-29 00:02:46.566000
4735000,1.0046,0,2024-04-29 00:02:46.566000
4741000,0.0,1,2024-04-29 00:02:46.566000
4742000,0.0094,1,2024-04-29 00:02:46.566000
4743000,0.001,1,2024-04-29 00:02:46.566000
4744000,1.0009,1,2024-04-29 00:02:46.566000
4745000,5.0398,1,2024-04-29 00:02:46.566000
4739000,1.0964,0,2024-04-29 00:02:51.854000
4738000,0.0583,0,2024-04-29 00:02:51.854000
4737000,16.0,0,2024-04-29 00:02:51.854000
4736000,1.336,0,2024-04-29 00:02:51.854000
4735000,1.0046,0,2024-04-29 00:02:51.854000
4740000,1.5107,1,2024-04-29 00:02:51.854000
4741000,0.0,1,2024-04-29 00:02:51.854000
4742000,0.0094,1,2024-04-29 00:02:51.854000
4743000,0.001,1,2024-04-29 00:02:51.854000
4744000,1.0009,1,2024-04-29 00:02:51.854000
4740000,3.2897,0,2024-04-29 00:02:57.092000
4739000,1.0964,0,2024-04-29 00:02:57.092000
4738000,0.0575,0,2024-04-29 00:02:57.092000
4737000,16.3357,0,2024-04-29 00:02:57.092000
4736000,1.0,0,2024-04-29 00:02:57.092000
4741000,0.0,1,2024-04-29 00:02:57.092000
4742000,0.0094,1,2024-04-29 00:02:57.092000
4743000,0.001,1,2024-04-29 00:02:57.092000
4744000,1.0009,1,2024-04-29 00:02:57.092000
4745000,5.0398,1,2024-04-29 00:02:57.092000
4740000,2.2266,0,2024-04-29 00:03:02.384000
4739000,1.1513,0,2024-04-29 00:03:02.384000
4738000,0.3355,0,2024-04-29 00:03:02.384000
4737000,16.0,0,2024-04-29 00:03:02.384000
4736000,1.0,0,2024-04-29 00:03:02.384000
4741000,0.0,1,2024-04-29 00:03:02.384000
4742000,0.0094,1,2024-04-29 00:03:02.384000
4743000,0.001,1,2024-04-29 00:03:02.384000
4744000,1.0009,1,2024-04-29 00:03:02.384000
4745000,5.0398,1,2024-04-29 00:03:02.384000
4740000,2.1619,0,2024-04-29 00:03:07.636000
4739000,16.0964,0,2024-04-29 00:03:07.636000
4738000,0.3355,0,2024-04-29 00:03:07.636000
4737000,1.0,0,2024-04-29 00:03:07.636000
4736000,1.4479,0,2024-04-29 00:03:07.636000
4744000,0.9123,1,2024-04-29 00:03:07.636000
4745000,1.4798,1,2024-04-29 00:03:07.636000
4746000,0.002,1,2024-04-29 00:03:07.636000
4747000,1.4418,1,2024-04-29 00:03:07.636000
4748000,23.4493,1,2024-04-29 00:03:07.636000
4740000,2.1057,0,2024-04-29 00:03:12.870000
4739000,2.2913,0,2024-04-29 00:03:12.870000
4738000,15.3353,0,2024-04-29 00:03:12.870000
4737000,2.895,0,2024-04-29 00:03:12.870000
4736000,1.4479,0,2024-04-29 00:03:12.870000
4744000,0.9123,1,2024-04-29 00:03:12.870000
4745000,2.9196,1,2024-04-29 00:03:12.870000
4746000,18.6622,1,2024-04-29 00:03:12.870000
4747000,0.0054,1,2024-04-29 00:03:12.870000
4748000,4.4256,1,2024-04-29 00:03:12.870000
4740000,1.4577,0,2024-04-29 00:03:18.108000
4739000,4.223,0,2024-04-29 00:03:18.108000
4738000,3.4335,0,2024-04-29 00:03:18.108000
4737000,18.2304,0,2024-04-29 00:03:18.108000
4736000,1.0,0,2024-04-29 00:03:18.108000
4743000,3.0,1,2024-04-29 00:03:18.108000
4744000,0.8557,1,2024-04-29 00:03:18.108000
4745000,1.9196,1,2024-04-29 00:03:18.108000
4746000,18.6622,1,2024-04-29 00:03:18.108000
4747000,3.0074,1,2024-04-29 00:03:18.108000
4740000,1.521,0,2024-04-29 00:03:23.358000
4739000,4.223,0,2024-04-29 00:03:23.358000
4738000,3.4335,0,2024-04-29 00:03:23.358000
4737000,16.3354,0,2024-04-29 00:03:23.358000
4736000,1.0,0,2024-04-29 00:03:23.358000
4743000,3.0,1,2024-04-29 00:03:23.358000
4744000,2.2955,1,2024-04-29 00:03:23.358000
4745000,0.4798,1,2024-04-29 00:03:23.358000
4746000,18.6622,1,2024-04-29 00:03:23.358000
4747000,3.0074,1,2024-04-29 00:03:23.358000
4740000,3.6271,0,2024-04-29 00:03:28.593000
4739000,2.2912,0,2024-04-29 00:03:28.593000
4738000,2.5636,0,2024-04-29 00:03:28.593000
4737000,16.0,0,2024-04-29 00:03:28.593000
4736000,1.0,0,2024-04-29 00:03:28.593000
4743000,3.0,1,2024-04-29 00:03:28.593000
4744000,0.8557,1,2024-04-29 00:03:28.593000
4745000,1.9196,1,2024-04-29 00:03:28.593000
4746000,3.6622,1,2024-04-29 00:03:28.593000
4747000,18.0074,1,2024-04-29 00:03:28.593000
4741000,3.1372,0,2024-04-29 00:03:33.862000
4740000,1.521,0,2024-04-29 00:03:33.862000
4739000,2.6267,0,2024-04-29 00:03:33.862000
4738000,17.2278,0,2024-04-29 00:03:33.862000
4737000,1.0,0,2024-04-29 00:03:33.862000
4743000,2.0169,1,2024-04-29 00:03:33.862000
4744000,0.8557,1,2024-04-29 00:03:33.862000
4745000,1.9121,1,2024-04-29 00:03:33.862000
4746000,3.6622,1,2024-04-29 00:03:33.862000
4747000,3.0074,1,2024-04-29 00:03:33.862000
4741000,1.0311,0,2024-04-29 00:03:39.131000
4740000,2.1697,0,2024-04-29 00:03:39.131000
4739000,1.0857,0,2024-04-29 00:03:39.131000
4738000,2.2278,0,2024-04-29 00:03:39.131000
4737000,16.5413,0,2024-04-29 00:03:39.131000
4743000,1.9519,1,2024-04-29 00:03:39.131000
4744000,2.2825,1,2024-04-29 00:03:39.131000
4745000,13.0621,1,2024-04-29 00:03:39.131000
4746000,3.1022,1,2024-04-29 00:03:39.131000
4747000,4.0074,1,2024-04-29 00:03:39.131000
4740000,0.0632,0,2024-04-29 00:03:44.373000
4739000,3.1922,0,2024-04-29 00:03:44.373000
4738000,2.2278,0,2024-04-29 00:03:44.373000
4737000,0.0833,0,2024-04-29 00:03:44.373000
4736000,15.3361,0,2024-04-29 00:03:44.373000
4743000,5.5119,1,2024-04-29 00:03:44.373000
4744000,2.2825,1,2024-04-29 00:03:44.373000
4745000,19.6221,1,2024-04-29 00:03:44.373000
4746000,4.1022,1,2024-04-29 00:03:44.373000
4747000,4.4595,1,2024-04-29 00:03:44.373000
4740000,0.0566,0,2024-04-29 00:03:49.618000
4739000,2.7515,0,2024-04-29 00:03:49.618000
4738000,2.2278,0,2024-04-29 00:03:49.618000
4737000,0.0833,0,2024-04-29 00:03:49.618000
4736000,15.4425,0,2024-04-29 00:03:49.618000
4743000,6.8529,1,2024-04-29 00:03:49.618000
4744000,3.8557,1,2024-04-29 00:03:49.618000
4745000,20.6221,1,2024-04-29 00:03:49.618000
4746000,4.1022,1,2024-04-29 00:03:49.618000
4747000,9.7875,1,2024-04-29 00:03:49.618000
4740000,0.0566,0,2024-04-29 00:03:54.868000
4739000,2.1065,0,2024-04-29 00:03:54.868000
4738000,2.2278,0,2024-04-29 00:03:54.868000
4736000,0.5258,0,2024-04-29 00:03:54.868000
4735000,15.3402,0,2024-04-29 00:03:54.868000
4743000,9.8529,1,2024-04-29 00:03:54.868000
4744000,3.8557,1,2024-04-29 00:03:54.868000
4745000,20.6221,1,2024-04-29 00:03:54.868000
4746000,4.1022,1,2024-04-29 00:03:54.868000
4747000,15.1195,1,2024-04-29 00:03:54.868000
4739000,2.1065,0,2024-04-29 00:04:00.091000
4738000,2.2278,0,2024-04-29 00:04:00.091000
4736000,0.5258,0,2024-04-29 00:04:00.091000
4735000,15.0046,0,2024-04-29 00:04:00.091000
4734000,0.0886,0,2024-04-29 00:04:00.091000
4741000,7.0886,1,2024-04-29 00:04:00.091000
4743000,4.8661,1,2024-04-29 00:04:00.091000
4744000,4.9579,1,2024-04-29 00:04:00.091000
4745000,19.1691,1,2024-04-29 00:04:00.091000
4746000,4.436,1,2024-04-29 00:04:00.091000
4738000,4.3348,0,2024-04-29 00:04:05.368000
4735000,0.0046,0,2024-04-29 00:04:05.368000
4734000,15.4246,0,2024-04-29 00:04:05.368000
4733000,1.2107,0,2024-04-29 00:04:05.368000
4732000,1.8997,0,2024-04-29 00:04:05.368000
4741000,7.0886,1,2024-04-29 00:04:05.368000
4742000,18.0,1,2024-04-29 00:04:05.368000
4743000,5.8661,1,2024-04-29 00:04:05.368000
4744000,6.1649,1,2024-04-29 00:04:05.368000
4745000,6.5868,1,2024-04-29 00:04:05.368000
4738000,4.3348,0,2024-04-29 00:04:10.604000
4735000,0.4364,0,2024-04-29 00:04:10.604000
4734000,15.0886,0,2024-04-29 00:04:10.604000
4733000,1.2107,0,2024-04-29 00:04:10.604000
